x,y,c
15,39,2
15,81,3
16,6,2
16,77,3
17,40,2
17,76,3
18,6,2
18,94,3
19,3,2
19,72,3
19,14,2
19,99,3
20,15,2
20,77,3
20,13,2
20,79,3
21,35,2
21,66,3
23,29,2
23,98,3
24,35,2
24,73,3
25,5,2
25,73,3
28,14,2
28,82,3
28,32,2
28,61,1
29,31,2
29,87,3
30,4,2
30,73,3
33,4,2
33,92,3
33,14,2
33,81,3
34,17,2
34,73,3
37,26,2
37,75,3
38,35,2
38,92,3
39,36,2
39,61,1
39,28,2
39,65,1
40,55,1
40,47,1
40,42,1
40,42,1
42,52,1
42,60,1
43,54,1
43,60,1
43,45,1
43,41,1
44,50,1
44,46,1
46,51,1
46,46,1
46,56,1
46,55,1
47,52,1
47,59,1
48,51,1
48,59,1
48,50,1
48,48,1
48,59,1
48,47,1
49,55,1
49,42,1
50,49,1
50,56,1
54,47,1
54,54,1
54,53,1
54,48,1
54,52,1
54,42,1
54,51,1
54,55,1
54,41,1
54,44,1
54,57,1
54,46,1
57,58,1
57,55,1
58,60,1
58,46,1
59,55,1
59,41,4
60,49,1
60,40,4
60,42,4
60,52,1
60,47,1
60,50,1
61,42,4
61,49,1
62,41,4
62,48,1
62,59,1
62,55,1
62,56,1
62,42,4
63,50,1
63,46,1
63,43,4
63,48,1
63,52,1
63,54,1
64,42,4
64,46,1
65,48,1
65,50,1
65,43,4
65,59,1
67,43,4
67,57,1
67,56,1
67,40,4
69,58,1
69,91,1
70,29,4
70,77,1
71,35,4
71,95,1
71,11,0
71,75,1
71,9,0
71,75,1
72,34,4
72,71,1
73,5,0
73,88,1
73,7,0
73,73,1
74,10,0
74,72,1
75,5,0
75,93,1
76,40,4
76,87,1
77,12,0
77,97,1
77,36,4
77,74,4
78,22,0
78,90,1
78,17,0
78,88,1
78,20,0
78,76,4
78,16,0
78,89,1
78,1,0
78,78,4
78,1,0
78,73,4
79,35,4
79,83,4
81,5,0
81,93,1
85,26,0
85,75,4
86,20,0
86,95,4
87,27,0
87,63,4
87,13,0
87,75,4
87,10,0
87,92,4
88,13,0
88,86,4
88,15,0
88,69,4
93,14,0
93,90,4
97,32,0
97,86,4
98,15,0
98,88,4
99,39,0
99,97,4
101,24,0
101,68,4
103,17,0
103,85,4
103,23,0
103,69,4
113,8,0
113,91,4
120,16,0
120,79,4
126,28,0
126,74,4
137,18,0
137,83,4
