x,y,c
15,39,1
15,81,2
16,6,0
16,77,2
17,40,1
17,76,2
18,6,0
18,94,2
19,3,0
19,72,2
19,14,0
19,99,2
20,15,0
20,77,2
20,13,0
20,79,2
21,35,1
21,66,2
23,29,1
23,98,2
24,35,1
24,73,2
25,5,0
25,73,2
28,14,0
28,82,2
28,32,1
28,61,2
29,31,1
29,87,2
30,4,0
30,73,2
33,4,0
33,92,2
33,14,0
33,81,2
34,17,1
34,73,2
37,26,1
37,75,2
38,35,1
38,92,2
39,36,1
39,61,1
39,28,1
39,65,1
40,55,1
40,47,1
40,42,1
40,42,1
42,52,1
42,60,1
43,54,1
43,60,1
43,45,1
43,41,1
44,50,1
44,46,1
46,51,1
46,46,1
46,56,1
46,55,1
47,52,1
47,59,1
48,51,1
48,59,1
48,50,1
48,48,1
48,59,1
48,47,1
49,55,1
49,42,1
50,49,1
50,56,1
54,47,1
54,54,1
54,53,1
54,48,1
54,52,1
54,42,1
54,51,1
54,55,1
54,41,1
54,44,1
54,57,1
54,46,1
57,58,1
57,55,1
58,60,1
58,46,1
59,55,1
59,41,1
60,49,1
60,40,3
60,42,1
60,52,1
60,47,1
60,50,1
61,42,3
61,49,1
62,41,3
62,48,1
62,59,1
62,55,1
62,56,1
62,42,3
63,50,1
63,46,3
63,43,3
63,48,1
63,52,1
63,54,1
64,42,3
64,46,3
65,48,3
65,50,3
65,43,3
65,59,1
67,43,3
67,57,1
67,56,1
67,40,3
69,58,3
69,91,4
70,29,3
70,77,4
71,35,3
71,95,4
71,11,3
71,75,4
71,9,3
71,75,4
72,34,3
72,71,4
73,5,3
73,88,4
73,7,3
73,73,4
74,10,3
74,72,4
75,5,3
75,93,4
76,40,3
76,87,4
77,12,3
77,97,4
77,36,3
77,74,4
78,22,3
78,90,4
78,17,3
78,88,4
78,20,3
78,76,4
78,16,3
78,89,4
78,1,3
78,78,4
78,1,3
78,73,4
79,35,3
79,83,4
81,5,3
81,93,4
85,26,3
85,75,4
86,20,3
86,95,4
87,27,3
87,63,4
87,13,3
87,75,4
87,10,3
87,92,4
88,13,3
88,86,4
88,15,3
88,69,4
93,14,3
93,90,4
97,32,3
97,86,4
98,15,3
98,88,0
99,39,3
99,97,0
101,24,3
101,68,4
103,17,3
103,85,0
103,23,3
103,69,4
113,8,3
113,91,0
120,16,3
120,79,0
126,28,3
126,74,0
137,18,3
137,83,0
